method,region,size,threads,mean,ci
omp_com,Elephant_Valley,1024,2,0.55146489,0.016537329121320003
omp_com,Elephant_Valley,1024,4,0.332326535,0.007425504098039999
omp_com,Elephant_Valley,1024,8,0.23109842,0.0029441938707999997
omp_com,Elephant_Valley,1024,16,0.184541993,0.003110639834008
omp_com,Elephant_Valley,1024,32,0.171539404,0.001714707882384
omp_com,Elephant_Valley,2048,1,3.946081902,0.035577874428432
omp_com,Elephant_Valley,2048,2,2.143844941,0.044540522494216
omp_com,Elephant_Valley,2048,4,1.322440542,0.024105446199576
omp_com,Elephant_Valley,2048,8,0.897717519,0.009149536953648
omp_com,Elephant_Valley,2048,16,0.70129657,0.0082472476632
omp_com,Elephant_Valley,2048,32,0.665181625,0.0053453995385
omp_com,Elephant_Valley,4096,1,15.389163705,0.021113932603260003
omp_com,Elephant_Valley,4096,2,8.242959674,0.017771821057143998
omp_com,Elephant_Valley,4096,4,5.175754563,0.017245614203916
omp_com,Elephant_Valley,4096,8,3.547229218,0.034067589409672
omp_com,Elephant_Valley,4096,16,2.772175799,0.037490905505676
omp_com,Elephant_Valley,4096,32,2.664855068,0.017236282579824
omp_com,Elephant_Valley,8192,1,61.164934735,0.14385992649672
omp_com,Elephant_Valley,8192,2,32.667737497,0.070431642043532
omp_com,Elephant_Valley,8192,4,20.50662949,0.03617369442036
omp_com,Elephant_Valley,8192,8,14.002825895,0.21407520228276
omp_com,Elephant_Valley,8192,16,11.057988256,0.153882964570496
omp_com,Elephant_Valley,8192,32,10.734119614,0.056804960997288004
omp_com,Triple_Spiral_Valley,16,1,0.000874341,1.6451600256e-5
omp_com,Triple_Spiral_Valley,16,2,0.000743466,2.3023655088000003e-5
omp_com,Triple_Spiral_Valley,16,4,0.00068449,2.039232608e-5
omp_com,Triple_Spiral_Valley,16,8,0.001176447,0.000505900444728
omp_com,Triple_Spiral_Valley,16,16,0.000974041,5.9755467267999995e-5
omp_com,Triple_Spiral_Valley,16,32,0.001267619,3.5777278656e-5
omp_com,Triple_Spiral_Valley,32,1,0.001667273,1.6666060908e-5
omp_com,Triple_Spiral_Valley,32,2,0.001242579,3.896727744e-5
omp_com,Triple_Spiral_Valley,32,4,0.001047277,0.00014122320889600003
omp_com,Triple_Spiral_Valley,32,8,0.001656245,0.00119201940144
omp_com,Triple_Spiral_Valley,32,16,0.001137412,3.2994047296e-5
omp_com,Triple_Spiral_Valley,32,32,0.001557928,4.7940560416e-5
omp_com,Triple_Spiral_Valley,64,1,0.005622573,0.00026228178530399995
omp_com,Triple_Spiral_Valley,64,2,0.003398913,6.5286320904e-5
omp_com,Triple_Spiral_Valley,64,4,0.002044224,4.8881484288000003e-5
omp_com,Triple_Spiral_Valley,64,8,0.001943199,0.00040181468922000004
omp_com,Triple_Spiral_Valley,64,16,0.002002386,9.811691400000001e-5
omp_com,Triple_Spiral_Valley,64,32,0.002804914,0.000749327165272
omp_com,Triple_Spiral_Valley,128,1,0.02014514,0.0006120093531999999
omp_com,Triple_Spiral_Valley,128,2,0.010993006,2.154629176e-5
omp_com,Triple_Spiral_Valley,128,4,0.006323484,3.5942683055999995e-5
omp_com,Triple_Spiral_Valley,128,8,0.004975736,0.000518829944192
omp_com,Triple_Spiral_Valley,128,16,0.004667456,0.000175645704192
omp_com,Triple_Spiral_Valley,128,32,0.004945741,0.000282085283676
omp_com,Triple_Spiral_Valley,256,1,0.075297647,2.9516677624e-5
omp_com,Triple_Spiral_Valley,256,2,0.042177369,4.9600585944e-5
omp_com,Triple_Spiral_Valley,256,4,0.023533824,0.000152216773632
