method,threads,process,dimension,mean,ci
mpi_omp_1,1,20,1,3.7618,0.165816
mpi_omp_1,2,20,1,3.146,0.122696
mpi_omp_1,4,20,1,3.1731,0.145236
mpi_omp_1,8,20,1,3.3628,0.12152
mpi_omp_1,16,20,1,3.4198,0.135044
mpi_omp_1,32,20,1,3.9361,0.09662799999999999
mpi_omp_1,64,20,1,3.4157,0.151116
mpi_omp_1,1,22,1,3.7588,0.15778
mpi_omp_1,2,22,1,3.1761,0.18522
mpi_omp_1,4,22,1,3.2073,0.105448
mpi_omp_1,8,22,1,3.3224,0.08525999999999999
mpi_omp_1,16,22,1,3.5846,0.11270000000000001
mpi_omp_1,32,22,1,3.8809,0.10682
mpi_omp_1,64,22,1,3.599,0.185024
mpi_omp_1,1,24,1,3.6556,0.120932
mpi_omp_1,2,24,1,3.1885,0.13720000000000002
mpi_omp_1,4,24,1,3.3382,0.15150799999999998
mpi_omp_1,8,24,1,3.4165,0.142296
mpi_omp_1,16,24,1,3.5631,0.10093999999999999
mpi_omp_1,32,24,1,3.956,0.126028
mpi_omp_1,64,24,1,3.4388,0.130928
mpi_omp_1,1,26,1,3.7711,0.174244
mpi_omp_1,2,26,1,3.3672,0.12975199999999998
mpi_omp_1,4,26,1,3.4832,0.16856
mpi_omp_1,8,26,1,3.688,0.21952
mpi_omp_1,16,26,1,3.7546,0.11661999999999999
mpi_omp_1,32,26,1,4.2026,0.113484
mpi_omp_1,64,26,1,3.5219,0.15974
mpi_omp_1,1,28,1,3.4503,0.13524
mpi_omp_1,2,28,1,3.3863,0.172676
mpi_omp_1,4,28,1,3.4108,0.116032
mpi_omp_1,8,28,1,3.712,0.24695999999999999
mpi_omp_1,16,28,1,3.9284,0.16385599999999997
mpi_omp_1,32,28,1,4.1836,0.142688
mpi_omp_1,64,28,1,3.5871,0.128772
mpi_omp_1,1,30,1,3.5466,0.16385599999999997
mpi_omp_1,2,30,1,3.2046,0.122304
mpi_omp_1,4,30,1,3.4198,0.138376
mpi_omp_1,8,30,1,3.6111,0.144256
mpi_omp_1,16,30,1,3.8289,0.153468
mpi_omp_1,32,30,1,4.3824,0.11074
mpi_omp_1,64,30,1,3.6859,0.17502800000000002
mpi_omp_1,1,32,1,3.447,0.2352
mpi_omp_1,2,32,1,3.386,0.22148
mpi_omp_1,4,32,1,3.552,0.23323999999999998
mpi_omp_1,8,32,1,3.6079,0.15836799999999998
mpi_omp_1,16,32,1,3.8213,0.149744
mpi_omp_1,32,32,1,4.3443,0.12975199999999998
mpi_omp_1,64,32,1,3.595,0.15150799999999998
mpi_omp_2,1,4,1,9.526,0.145628
mpi_omp_2,2,4,1,6.0233,0.031164
mpi_omp_2,4,4,1,4.32732,0.0150136
mpi_omp_2,8,4,1,3.3558,0.0149156
mpi_omp_2,16,4,1,3.08745,0.0172088
mpi_omp_2,32,4,1,3.1767,0.055271999999999995
mpi_omp_2,64,4,1,3.1742,0.053116
mpi_omp_2,1,8,1,5.5359,0.074284
mpi_omp_2,2,8,1,3.997,0.053312
mpi_omp_2,4,8,1,3.1912,0.029008
mpi_omp_2,8,8,1,3.1547,0.045668
mpi_omp_2,16,8,1,3.1124,0.025284
mpi_omp_2,32,8,1,3.1286,0.033123999999999994
mpi_omp_2,64,8,1,3.1538,0.038611999999999994
mpi_omp_2,1,12,1,4.4546,0.0735
mpi_omp_2,2,12,1,3.4835,0.07291199999999999
mpi_omp_2,4,12,1,3.1507,0.025872
mpi_omp_2,8,12,1,3.1557,0.030771999999999997
mpi_omp_2,16,12,1,3.217,0.06487599999999999
mpi_omp_2,32,12,1,3.2686,0.037239999999999995
mpi_omp_2,64,12,1,3.2473,0.026656
mpi_omp_2,1,16,1,3.7782,0.04312
mpi_omp_2,2,16,1,3.098,0.027243999999999997
mpi_omp_2,4,16,1,3.1866,0.035868
mpi_omp_2,8,16,1,3.2602,0.077616
mpi_omp_2,16,16,1,3.3544,0.057036
mpi_omp_2,32,16,1,3.4006,0.06860000000000001
mpi_omp_2,64,16,1,3.3312,0.032928
mpi_omp_2,1,20,1,3.4978,0.038611999999999994
mpi_omp_2,2,20,1,3.1849,0.02352
mpi_omp_2,4,20,1,3.2466,0.030968000000000002
mpi_omp_2,8,20,1,3.221,0.028224
mpi_omp_2,16,20,1,3.3056,0.04998
mpi_omp_2,32,20,1,3.4265,0.044492000000000004
mpi_omp_2,64,20,1,3.3978,0.02352
mpi_omp_2,1,24,1,3.5323,0.190316
mpi_omp_2,2,24,1,3.2005,0.03234
mpi_omp_2,4,24,1,3.2495,0.037239999999999995
mpi_omp_2,8,24,1,3.3239,0.057232
mpi_omp_2,16,24,1,3.4152,0.060172
mpi_omp_2,32,24,1,3.501,0.041356000000000004
mpi_omp_2,64,24,1,3.4979,0.05096
mpi_omp_2,1,28,1,3.2627,0.036455999999999995
mpi_omp_2,2,28,1,3.2368,0.034888
mpi_omp_2,4,28,1,3.2676,0.032732
mpi_omp_2,8,28,1,3.8642,0.126028
mpi_omp_2,16,28,1,3.8192,0.1862
mpi_omp_2,32,28,1,3.6678,0.105252
mpi_omp_2,64,28,1,3.5758,0.055271999999999995
mpi_omp_2,1,32,1,3.4231,0.16542400000000002
mpi_omp_2,2,32,1,3.386,0.036848
mpi_omp_2,4,32,1,3.3644,0.04802
mpi_omp_2,8,32,1,3.4894,0.040768
mpi_omp_2,16,32,1,3.5619,0.035084
mpi_omp_2,32,32,1,3.7487,0.039984
mpi_omp_2,64,32,1,4.0404,0.1813
mpi_omp_2,1,36,1,3.4089,0.0441
mpi_omp_2,2,36,1,3.4682,0.039004000000000004
mpi_omp_2,4,36,1,3.5068,0.049
mpi_omp_2,8,36,1,3.5759,0.067424
mpi_omp_2,16,36,1,3.6271,0.03038
mpi_omp_2,32,36,1,3.9439,0.037239999999999995
mpi_omp_2,64,36,1,3.6585,0.036455999999999995
mpi_omp_2,1,40,1,3.3928,0.052528
mpi_omp_2,2,40,1,3.9224,0.19012
mpi_omp_2,4,40,1,4.023,0.21168
mpi_omp_2,8,40,1,3.6493,0.031948
mpi_omp_2,16,40,1,3.7676,0.041356000000000004
mpi_omp_2,32,40,1,4.0545,0.11328799999999999
mpi_omp_2,64,40,1,3.8273,0.09564800000000001
mpi_omp_2,1,44,1,3.4936,0.034300000000000004
mpi_omp_2,2,44,1,3.4939,0.043316
mpi_omp_2,4,44,1,3.6145,0.039788
mpi_omp_2,8,44,1,3.7084,0.04312
mpi_omp_2,16,44,1,4.2547,0.12700799999999998
mpi_omp_2,32,44,1,4.3177,0.12936
mpi_omp_2,64,44,1,3.9008,0.08898400000000001
mpi_omp_2,1,48,1,3.6638,0.095452
mpi_omp_2,2,48,1,3.5913,0.057623999999999995
mpi_omp_2,4,48,1,3.7229,0.0392
mpi_omp_2,8,48,1,3.8127,0.0392
mpi_omp_2,16,48,1,3.9229,0.04998
mpi_omp_2,32,48,1,4.2993,0.05586
mpi_omp_2,64,48,1,4.2687,0.194628
mpi_omp_2,1,52,1,3.7037,0.065856
mpi_omp_2,2,52,1,3.6434,0.031164
mpi_omp_2,4,52,1,3.7872,0.03528
mpi_omp_2,8,52,1,3.8866,0.02744
mpi_omp_2,16,52,1,4.0275,0.025676
mpi_omp_2,32,52,1,4.4127,0.03822
mpi_omp_2,64,52,1,3.9764,0.025284
mpi_omp_2,1,56,1,3.8844,0.18953199999999998
mpi_omp_2,2,56,1,4.255,0.20776
mpi_omp_2,4,56,1,4.02,0.21364
mpi_omp_2,8,56,1,3.9558,0.04880399999999999
mpi_omp_2,16,56,1,4.1412,0.050568
mpi_omp_2,32,56,1,4.5398,0.12642
mpi_omp_2,64,56,1,4.0352,0.03038
mpi_omp_2,1,60,1,3.7602,0.04116
mpi_omp_2,2,60,1,3.701,0.03822
